Destination_Name,State,Country,Category,Budget,Best_Season,Description,Rating
Goa Beaches,Goa,India,Beach,250,Winter,"Golden sand, beach shacks, and a lively nightlife scene along India's most famous coastline.",4.5
Havelock Island,Andaman & Nicobar,India,Beach,400,Winter,Crystal-clear waters and coral reefs make this the Andamans' top spot for diving and snorkeling.,4.7
Kovalam Beach,Kerala,India,Beach,200,Winter,"A crescent-shaped beach backed by swaying palms, famous for its lighthouse and Ayurvedic resorts.",4.3
Varkala Beach,Kerala,India,Beach,220,Winter,"Dramatic red cliffs overlook the Arabian Sea, with cafes perched right along the clifftop.",4.4
Gokarna Beach,Karnataka,India,Beach,180,Winter,"A quieter, laid-back alternative to Goa with pristine beaches favored by backpackers.",4.2
Puri Beach,Odisha,India,Beach,150,Winter,A sacred coastal town where golden sands meet the historic Jagannath Temple crowds.,4.0
Digha Beach,West Bengal,India,Beach,120,Winter,A popular weekend getaway beach with a long promenade and fresh seafood stalls.,3.9
Marina Beach,Tamil Nadu,India,Beach,100,Winter,"One of the world's longest urban beaches, buzzing with food vendors and evening crowds.",4.0
Diu Beach,Diu,India,Beach,200,Winter,A peaceful Portuguese-influenced coastal town with clean beaches and old fort ruins.,4.1
Alibaug,Maharashtra,India,Beach,180,Winter,"A relaxed coastal retreat near Mumbai, dotted with old forts and weekend beach resorts.",4.1
"Kuta Beach, Bali",Bali,Indonesia,Beach,700,Summer,World-famous surf breaks and stunning sunsets draw travelers from across the globe.,4.6
"Patong Beach, Phuket",Phuket,Thailand,Beach,650,Winter,A vibrant beach town blending water sports by day with buzzing nightlife after dark.,4.4
Maldives Atolls,Maldives,Maldives,Beach,2500,Winter,Overwater bungalows and turquoise lagoons make this the ultimate luxury beach escape.,4.9
Santorini Beaches,Santorini,Greece,Beach,1800,Summer,Volcanic black-sand beaches beneath whitewashed cliffside villages overlooking the Aegean.,4.8
Bora Bora,Bora Bora,French Polynesia,Beach,3200,Summer,"An iconic lagoon ringed by coral reefs, famous for its overwater villas and snorkeling.",4.9
Copacabana Beach,Rio de Janeiro,Brazil,Beach,900,Summer,"A lively urban beach framed by mountains, samba rhythms, and beach volleyball courts.",4.5
Waikiki Beach,Hawaii,USA,Beach,1500,Summer,"A classic surf beach lined with resorts, food trucks, and views of Diamond Head crater.",4.5
"White Beach, Boracay",Boracay,Philippines,Beach,600,Summer,Powder-white sand and calm turquoise water make this one of Southeast Asia's finest beaches.,4.6
"Nungwi Beach, Zanzibar",Zanzibar,Tanzania,Beach,800,Summer,Dhow boats drift past pristine sands on this laid-back island famed for its spice trade history.,4.5
Cancun Beaches,Quintana Roo,Mexico,Beach,1100,Winter,Caribbean turquoise waters and lively resorts along Mexico's most popular coastline.,4.4
Shimla,Himachal Pradesh,India,Hill Station,300,Summer,"The former British summer capital, known for its colonial architecture and pine-covered ridges.",4.3
Manali,Himachal Pradesh,India,Hill Station,350,Summer,"A Himalayan retreat surrounded by snow-capped peaks, apple orchards, and river valleys.",4.5
Darjeeling,West Bengal,India,Hill Station,280,Summer,Rolling tea gardens and views of Kanchenjunga define this misty Himalayan hill town.,4.4
Ooty,Tamil Nadu,India,Hill Station,250,Summer,"The 'Queen of Hill Stations', with botanical gardens and a scenic mountain toy train.",4.3
Munnar,Kerala,India,Hill Station,260,Winter,Emerald tea plantations blanket rolling hills beneath the Western Ghats' misty peaks.,4.6
Coorg,Karnataka,India,Hill Station,240,Winter,Coffee estates and waterfalls earn this region the nickname 'Scotland of India'.,4.5
Nainital,Uttarakhand,India,Hill Station,230,Summer,"A picturesque lake town ringed by forested hills, popular for boating and colonial charm.",4.2
Mussoorie,Uttarakhand,India,Hill Station,220,Summer,Panoramic Himalayan views and colonial-era markets make this the 'Queen of the Hills'.,4.2
Gangtok,Sikkim,India,Hill Station,300,Summer,"A vibrant Himalayan capital with monasteries, cable cars, and views of Kanchenjunga.",4.5
Kodaikanal,Tamil Nadu,India,Hill Station,240,Summer,A tranquil hill retreat centered around a star-shaped lake and eucalyptus-scented forests.,4.3
Mount Abu,Rajasthan,India,Hill Station,200,Winter,"Rajasthan's only hill station, home to intricately carved Dilwara Jain temples.",4.1
Lansdowne,Uttarakhand,India,Hill Station,180,Summer,An untouched cantonment town with oak forests and none of the usual hill-station crowds.,4.2
